id,label,xywh,scanname
https://archief.amsterdam/indexen/deeds/9d6d21e1-3f5c-666d-e053-b784100a1840?location=Location1,Zolingh wt Berchslandt,"2668,2152,698,70",A23655000046
https://archief.amsterdam/indexen/deeds/9d6d21e1-3f5c-666d-e053-b784100a1840?location=Location2,Nimmegen,"3064,512,312,80",A23655000046
https://archief.amsterdam/indexen/deeds/9d6d21e1-3f5c-666d-e053-b784100a1840?location=Location3,Meijerije van Den Bosch,"3924,2000,242,81",A23655000046
https://archief.amsterdam/indexen/deeds/d0092ad0-4e33-1a7b-e053-b784100aab8a?location=Location1,Warmlant,"2185,500,336,115",A23644000189
https://archief.amsterdam/indexen/deeds/9d6d21e0-5abc-666d-e053-b784100a1840?location=Location1,Vlissingen,"1090,1940,376,71",A23655000053
https://archief.amsterdam/indexen/deeds/9d6d21e0-5abc-666d-e053-b784100a1840?location=Location2,Londen in Engelandt,"710,450,598,74",A23655000053
https://archief.amsterdam/indexen/deeds/9d6d21e0-5abc-666d-e053-b784100a1840?location=Location3,Zilt,"730,2024,150,76",A23655000053
https://archief.amsterdam/indexen/deeds/e557c10e-a3e8-7dcb-e053-b784100a971b?location=Location1,Nimmegen,"3436,791,470,121",KLAC01164000212
https://archief.amsterdam/indexen/deeds/9d6d21e0-4afa-666d-e053-b784100a1840?location=Location1,Bedtfortchier,"912,773,496,92",A23645000271
https://archief.amsterdam/indexen/deeds/9d6d21e0-4afa-666d-e053-b784100a1840?location=Location2,Bavergeers,"1135,2809,391,50",A23645000271
https://archief.amsterdam/indexen/deeds/9d6d21e2-868f-666d-e053-b784100a1840?location=Location1,Brenswijck,"3462,2689,370,118",A23645000261
https://archief.amsterdam/indexen/deeds/9d6d21e2-868f-666d-e053-b784100a1840?location=Location2,Noortstrant,"3274,2783,450,90",A23645000261
https://archief.amsterdam/indexen/deeds/9d6d21e2-868f-666d-e053-b784100a1840?location=Location3,Avesaet bij Tiel,"3049,890,446,107",A23645000261
https://archief.amsterdam/indexen/deeds/9d6d21e0-cd15-666d-e053-b784100a1840?location=Location1,Loizane in Switzerlant,"1772,1939,311,66",A23655000067
https://archief.amsterdam/indexen/deeds/9d6d21e0-cd15-666d-e053-b784100a1840?location=Location2,Nantes in Brittanie,"1329,457,542,71",A23655000067
https://archief.amsterdam/indexen/deeds/9d6d21e0-cd15-666d-e053-b784100a1840?location=Location3,De Mase,"1585,581,218,90",A23655000067
https://archief.amsterdam/indexen/deeds/9d6d21e2-2451-666d-e053-b784100a1840?location=Location1,Keern,"3467,1675,228,86",A23647000107
https://archief.amsterdam/indexen/deeds/9d6d21e2-2451-666d-e053-b784100a1840?location=Location2,Hooren,"2819,510,271,81",A23647000107
https://archief.amsterdam/indexen/deeds/9d6d21e2-2451-666d-e053-b784100a1840?location=Location3,Dooren,"2998,1762,281,79",A23647000107
https://archief.amsterdam/indexen/deeds/9d6d21df-f438-666d-e053-b784100a1840?location=Location1,Luickstadt,"1720,1962,394,63",A23654000043
https://archief.amsterdam/indexen/deeds/9d6d21df-f438-666d-e053-b784100a1840?location=Location2,Olmetz,"1429,2041,256,71",A23654000043
https://archief.amsterdam/indexen/deeds/9d6d21df-f438-666d-e053-b784100a1840?location=Location3,Coetsvelt,"1366,469,366,89",A23654000043
https://archief.amsterdam/indexen/deeds/9d6d21df-f438-666d-e053-b784100a1840?location=Location4,Londen,"1876,764,215,65",A23654000043
https://archief.amsterdam/indexen/deeds/9d6d21e2-963a-666d-e053-b784100a1840?location=Location1,Jutphaes,"2816,351,200,42",A23658000180
https://archief.amsterdam/indexen/deeds/9d6d21e2-963a-666d-e053-b784100a1840?location=Location2,Lonnen in Ditmarschen,"3808,1635,279,59",A23658000180
https://archief.amsterdam/indexen/deeds/9d6d21e2-963a-666d-e053-b784100a1840?location=Location3,Cleeff in Ditmarschen,"3840,1695,400,88",A23658000180
https://archief.amsterdam/indexen/deeds/9d6d21e2-14ec-666d-e053-b784100a1840?location=Location1,Sardam,"2318,1051,215,100",A23645000281
https://archief.amsterdam/indexen/deeds/9d6d21e2-14ec-666d-e053-b784100a1840?location=Location2,Franiker,"1021,800,489,104",A23645000281
https://archief.amsterdam/indexen/deeds/9d6d21e2-14ec-666d-e053-b784100a1840?location=Location3,Brouwershaven,"1972,2630,451,102",A23645000281
https://archief.amsterdam/indexen/deeds/9d6d21e0-cd4b-666d-e053-b784100a1840?location=Location1,Ten Hage,"2084,1790,197,74",A23646000062
https://archief.amsterdam/indexen/deeds/9d6d21e0-cd4b-666d-e053-b784100a1840?location=Location2,Baston in Engelandt,"2016,665,264,62",A23646000062
https://archief.amsterdam/indexen/deeds/9d6d21e0-5abd-666d-e053-b784100a1840?location=Location1,Amelandt,"1074,1489,293,67",A23653000064
https://archief.amsterdam/indexen/deeds/9d6d21e0-5abd-666d-e053-b784100a1840?location=Location2,Zilt,"1198,403,157,62",A23653000064
https://archief.amsterdam/indexen/deeds/9d6d21e2-2491-666d-e053-b784100a1840?location=Location1,Karlin in Pomeren,"2972,758,694,135",A23648000105
https://archief.amsterdam/indexen/deeds/9d6d21e2-2491-666d-e053-b784100a1840?location=Location2,Lubecq,"3782,2492,257,99",A23648000105
https://archief.amsterdam/indexen/deeds/9d6d21e2-2491-666d-e053-b784100a1840?location=Location3,Hamburgh,"3763,2423,309,97",A23648000105
https://archief.amsterdam/indexen/deeds/9d6d21e2-2492-666d-e053-b784100a1840?location=Location1,Brednitz in Deventzier in Engelt.,"4020,1933,243,80",A23655000147
https://archief.amsterdam/indexen/deeds/9d6d21e2-2492-666d-e053-b784100a1840?location=Location2,Lerpell in Engelt.,"2912,2096,736,67",A23655000147
https://archief.amsterdam/indexen/deeds/9d6d21e2-2492-666d-e053-b784100a1840?location=Location3,Delf,"3926,646,148,85",A23655000147
https://archief.amsterdam/indexen/deeds/9d6d21e2-2492-666d-e053-b784100a1840?location=Location4,Heusden,"3278,519,301,67",A23655000147
https://archief.amsterdam/indexen/deeds/9d6d21e1-b1d7-666d-e053-b784100a1840?location=Location1,Edenborgh,"2773,483,379,87",A23647000134
https://archief.amsterdam/indexen/deeds/9d6d21e0-66da-666d-e053-b784100a1840?location=Location1,Gottenborch,"3157,1683,350,74",A23654000196
https://archief.amsterdam/indexen/deeds/9d6d21e0-66da-666d-e053-b784100a1840?location=Location2,Haderslee uijt Holstain,"3265,487,650,66",A23654000196
https://archief.amsterdam/indexen/deeds/9d6d21e2-2494-666d-e053-b784100a1840?location=Location1,Bremen,"2722,2347,194,45",A20015000033
