id,begin_coordinates,begin_scanname,end_coordinates,end_scanname
https://archief.amsterdam/indexen/deeds/9d6d21e1-3f5c-666d-e053-b784100a1840,"2333,203",A23655000046,"4150,3047",A23655000046
,"2466,97",A32396000054,"4358,3143",A32396000054
https://archief.amsterdam/indexen/deeds/d0092ad0-4e33-1a7b-e053-b784100aab8a,"203,212",A23644000189,"2300,2196",A23644000189
https://archief.amsterdam/indexen/deeds/9d6d21e0-5abc-666d-e053-b784100a1840,"345,139",A23655000053,"2077,3023",A23655000053
,"2849,121",KLAB05564000039,"4934,3600",KLAB05564000039
https://archief.amsterdam/indexen/deeds/e557c10e-a3e8-7dcb-e053-b784100a971b,"3120,170",KLAC01164000212,"2874,2118",KLAC01164000213
https://archief.amsterdam/indexen/deeds/9d6d21e0-4afa-666d-e053-b784100a1840,"458,161",A23645000271,"2365,3331",A23645000271
,"2863,209",KLAD01900000044,"4980,3890",KLAD01900000044
,"494,126",KLAD02349000063,"3534,1517",KLAD02349000063
,"325,162",A26720000062,"2430,3391",A26720000062
,"441,99",NOTD00103000007,"1877,1654",NOTD00103000009
,"2775,177",KLAD01893000012,"2354,1793",KLAD01893000013
,"2639,188",A26669000013,"2414,1529",A26669000014
https://archief.amsterdam/indexen/deeds/9d6d21e2-868f-666d-e053-b784100a1840,"2627,157",A23645000261,"4474,3390",A23645000261
,"2842,138",A26673000058,"4820,3736",A26673000058
https://archief.amsterdam/indexen/deeds/9d6d21e0-cd15-666d-e053-b784100a1840,"470,141",A23655000067,"2204,3009",A23655000067
,"516,171",A26673000064,"2391,3815",A26673000064
,"2371,360",NOTD00100000054,"4020,2431",NOTD00100000055
https://archief.amsterdam/indexen/deeds/9d6d21e2-2451-666d-e053-b784100a1840,"2538,98",A23647000107,"4409,3263",A23647000107
,"391,134",KLAD02349000024,"3612,2695",KLAD02349000024
,"594,337",A30705000085,"5507,2821",A30705000085
,"238,157",KLAD02350000068,"2587,3882",KLAD02350000068
https://archief.amsterdam/indexen/deeds/9d6d21df-f438-666d-e053-b784100a1840,"426,187",A23654000043,"1903,3080",A23654000043
https://archief.amsterdam/indexen/deeds/9d6d21e2-963a-666d-e053-b784100a1840,"2348,135",A23658000180,"4194,2886",A23658000180
https://archief.amsterdam/indexen/deeds/9d6d21e2-14ec-666d-e053-b784100a1840,"386,228",A23645000281,"2407,3322",A23645000281
https://archief.amsterdam/indexen/deeds/9d6d21e0-cd4b-666d-e053-b784100a1840,"258,197",A23646000062,"2171,3056",A23646000062
,"2846,104",KLAD01936000099,"5131,3733",KLAD01936000100
,"2720,130",KLAD01983000019,"4867,3676",KLAD01983000019
https://archief.amsterdam/indexen/deeds/9d6d21e0-5abd-666d-e053-b784100a1840,"258,114",A23653000064,"2007,2789",A23653000064
,"406,148",NOTD00104000029,"3881,1392",NOTD00104000030
,"2666,104",KLAB05564000015,"4854,3153",KLAB05564000015
https://archief.amsterdam/indexen/deeds/9d6d21e2-2491-666d-e053-b784100a1840,"2549,152",A23648000105,"4411,3313",A23648000105
https://archief.amsterdam/indexen/deeds/9d6d21e2-2492-666d-e053-b784100a1840,"2390,180",A23655000147,"4285,3053",A23655000147
,"2086,86",KLAD01539000051,"3668,1496",KLAD01539000052
https://archief.amsterdam/indexen/deeds/9d6d21e1-b1d7-666d-e053-b784100a1840,"2521,67",A23647000134,"4336,3237",A23647000134
,"266,146",KLAD01840000076,"3644,2099",KLAD01840000076
https://archief.amsterdam/indexen/deeds/9d6d21e0-66da-666d-e053-b784100a1840,"2527,121",A23654000196,"3948,3113",A23654000196
https://archief.amsterdam/indexen/deeds/9d6d21e2-2494-666d-e053-b784100a1840,"2648,1976",A20015000033,"4117,3731",A20015000033
https://archief.amsterdam/indexen/deeds/9d6d21e1-4acf-666d-e053-b784100a1840,"469,1547",A30768000052,"5148,3250",A30768000052
https://archief.amsterdam/indexen/deeds/9d6d21e0-6724-666d-e053-b784100a1840,"588,173",A23654000151,"2076,3111",A23654000151
https://archief.amsterdam/indexen/deeds/e557c10e-e417-7dcb-e053-b784100a971b,"664,159",KLAB04781000116,"5102,3707",KLAB04781000116
,"3095,169",KLAD01899000272,"5151,3684",KLAD01899000272
https://archief.amsterdam/indexen/deeds/e557c10e-cecc-7dcb-e053-b784100a971b,"475,1535",KLAB04781000078,"2530,3819",KLAB04781000078
,"333,96",KLAB05520000071,"4847,1180",KLAB05520000071
https://archief.amsterdam/indexen/deeds/bebf5fd4-ef63-1e00-e053-b784100af734,"2727,63",KLAG03343000115,"5046,2407",KLAG03343000115
https://archief.amsterdam/indexen/deeds/9d6d21e1-2f9b-666d-e053-b784100a1840,"300,123",A23651000112,"2017,2922",A23651000112
https://archief.amsterdam/indexen/deeds/9d6d21e3-f9d0-666d-e053-b784100a1840,"140,191",A23650000048,"2155,3130",A23650000048
,"419,170",A16039000055,"1740,2313",A16039000055
,"2052,86",KLAD02241000056,"3720,2711",KLAD02241000056
https://archief.amsterdam/indexen/deeds/a3cb51cc-6564-50ee-e053-b784100a6caf,"3003,172",KLAB05562000183,"4877,3598",KLAB05562000183
https://archief.amsterdam/indexen/deeds/9d6d21e3-f9d1-666d-e053-b784100a1840,"2399,135",A23657000089,"4259,2864",A23657000089
https://archief.amsterdam/indexen/deeds/9d6d21e2-1527-666d-e053-b784100a1840,"417,170",A23645000039,"2197,3295",A23645000039
,"248,185",A16607000023,"1809,2740",A16607000023
https://archief.amsterdam/indexen/deeds/d0092ad0-4e9c-1a7b-e053-b784100aab8a,"230,215",A23644000324,"2381,3854",A23644000324
https://archief.amsterdam/indexen/deeds/9d6d21e3-6b7d-666d-e053-b784100a1840,"410,216",A23645000010,"2151,3298",A23645000010
https://archief.amsterdam/indexen/deeds/9d6d21e2-5d97-666d-e053-b784100a1840,"356,97",KLAB05528000013,"2398,3879",KLAB05528000013
https://archief.amsterdam/indexen/deeds/9d6d21e1-be4e-666d-e053-b784100a1840,"344,121",A30708000065,"3598,2662",A30708000065
https://archief.amsterdam/indexen/deeds/9d6d21e2-963e-666d-e053-b784100a1840,"2715,188",A20015000019,"4871,3293",A20015000019
,"1744,105",A16608000012,"1541,1504",A16608000013
