final_creditor_name;normalized
Aaltgen Douwesdr.;Aaltgen Douwesdr.
Aaltgen Jans;Aaltgen Jans
Aaltgen Luijten;Aaltgen Luijten
Abeltgen Jurriens;Abeltgen Jurriens
Abraham Antheunis;Abraham Antheunisz
Abraham Antheunisen;Abraham Antheunisz
Abraham Antheuniss;Abraham Antheunisz
Abraham Antheunissz;Abraham Antheunisz
Abraham Antheunisz;Abraham Antheunisz
Abraham Anthheunissz;Abraham Antheunisz
Abraham Anthonis;Abraham Antheunisz
Abraham Anthoniss;Abraham Antheunisz
Abraham Anthonissen;Abraham Antheunisz
Abraham Anthonisss;Abraham Antheunisz
Abraham Anthonissz;Abraham Antheunisz
Abraham Anthonisz;Abraham Antheunisz
Abraham Anthounissen;Abraham Antheunisz
Abraham Antonis;Abraham Antheunisz
Abraham Henne;Abraham Henne
Abraham Hennen;Abraham Henne
Abraham Janss;Abraham Jansz
Abraham Janssz;Abraham Jansz
Abraham Jansz Segens;Abraham Jansz
Abraham Minne;Abraham Minne
Abraham Pieterssz;Abraham Pietersz
Abraham Simenss;Abraham Simenss
Abraham Theuniss;Abraham Antheunisz
Abraham Theunisz;Abraham Antheunisz
Abraham van Looffelt;Abraham van Looffelt
Abraham Velthuijsen;Abraham Velthuijsen
Adam de la Fosse;Adam de la Fosse
Adam Henricxss Raven;Adam Henricxss Raven
Adam la Fosse;Adam de la Fosse
Adam Luursen van der Sturck;Adam Luursen van der Sturck
Adam Luurss van der Sturck;Adam Luursen van der Sturck
Adam Luurssz van der Sturck;Adam Luursen van der Sturck
Adam Luursz van der Sturck;Adam Luursen van der Sturck
Adam Michielss;Adam Michielsz
Adewich Harmensdr.;Adewich Harmensdr.
Adolf Willickhousen;Adolf Willickhousen
Adriaen Hots;Adriaen Hots
Adriaen Maersz;Adriaen Maersz
Adriaen Olffertsz;Adriaen Olphertsz
Adriaen Olphertssz;Adriaen Olphertsz
Adriaen Olphertsz;Adriaen Olphertsz
Adriaentgen Bastiaens;Adriaentgen Bastiaens
Adrian Aerthensz;Adriaen Olphertsz
Aechgen Dircxdr.;Aeltgen Dircx
Aechgen Jans;Aeltgen Jansdr.
Aeffgen Jansdr.;Aeltgen Jansdr.
Aeffgen Willems;Aeffgen Willems
Aeffie Jans;Aeltgen Jansdr.
Aeffien Arents;Aeffien Arents
Aeffien Wilelms;Aeffgen Willems
Aelmet Dircx;Aeltgen Dircx
Aeltge Hendricx;Aeltgen Hendricx
Aeltge Jans;Aeltgen Jansdr.
Aeltgen Alberts;
Aeltgen Carstens;
Aeltgen Cornelis;
Aeltgen Dircx;Aeltgen Dircx
Aeltgen Falcx;
Aeltgen Halliaer;
Aeltgen Hendricx;Aeltgen Hendricx
Aeltgen Hennes;
Aeltgen Henrics;Aeltgen Hendricx
Aeltgen Hermens;
Aeltgen Jans;Aeltgen Jansdr.
Aeltgen Jansdr.;Aeltgen Jansdr.
Aeltgen Janse;Aeltgen Jans
Aeltgen Jurriaens;Abeltgen Jurriens
Aeltgen Martens;
Aeltgen Quirijnen;
Aeltgen Sijmons;Aeltgen Symons
Aeltgen Symons;Aeltgen Symons
Aeltgen van Besten;
Aeltgen Wiggerts;
Aeltgen Willems;Aeltgen Willemsdr.
Aeltgen Willemsdr;Aeltgen Willemsdr.
Aeltgen Willemsdr.;Aeltgen Willemsdr.
Aeltgen Wouters;
Aeltien Jansdr.;Aeltgen Jansdr.
Aeltien Lourensdr.;
Aerent Frans van Minnen;Arent Fransz van Minnen
Aerent Fransz van Minnen;Arent Fransz van Minnen
Agnietje Jaspers;
Albert Albertss;
Albert Buell;Albert Buijl
Albert Buijl;Albert Buijl
Albert Buijll;Albert Buijl
Albert Henricxs;
Albert Jansz;
Albertje Lubberts;
Alecxander Grae;Alexander Gree
Alecxander Marchal;Alexander Marechal
Alexander Black;
Alexander Grae;Alexander Gree
Alexander Grav;Alexander Grae
Alexander Gree;Alexander Gree
Alexander Maerschal;Alexander Marechal
Alexander Marchal;Alexander Marechal
Alexander Marchel;Alexander Marechal
Alexander Marchial;Alexander Marechal
Alexander Marechal;Alexander Marechal
Alexander Sciant;
Alexandr Grae;Alexander Gree
Anderies Engel;Andries Engel
Anderies Engels;Andries Engel
Andries Barentssz;Andries Barentsz
Andries Barentsz;Andries Barentsz
Andries Barentsz de Vries;Andries Barentsz
Andries Beli;
Andries Claas;Andries Claesz
Andries Claass;Andries Claesz
Andries Claasz;Andries Claesz
Andries Claes;Andries Claesz
Andries Claesen;Andries Claesz
Andries Claess;Andries Claesz
Andries Claessen;Andries Claesz
Andries Claessz;Andries Claesz
Andries Claesz;Andries Claesz
Andries Classen;Andries Claesz
Andries Deen;
Andries Engel;Andries Engel
Andries Jans;Andries Jansz
Andries Janss;Andries Jansz
Andries Janss Salemaker;
Andries Janssz;Andries Jansz
Andries Jansz;Andries Jansz
Andries Linsen;Andries Linsingh
Andries Linsin;Andries Linsingh
Andries Linsingh;Andries Linsingh
Andries Linson;Andries Linsingh
Andries Mourisz;
Andries Pietersz;
Andries Thomasz;
Andries Thomasz/Annetgen Boyes;
Andries Tomasz/Annetgen Boeijes;
