role;normalized_role;role_category
Adelborst;adelborst;sailor
adelborst;adelborst;sailor
Adelborst/Barbier;adelborst;sailor
Adelborst/Monsterschrijver;adelborst;sailor
Adelborst/Soldaat;adelborst;sailor
Appoincté;appoincte;soldier
Geappoincteerde;appoincte;soldier
Soldaat appoincté;appoincte;soldier
Assistent;assistent;sailor
Barbier;barbier;sailor
Boekhouder;boekhouder;sailor
Bootsgezel;bootsgezel;sailor
bootsgezel;bootsgezel;sailor
Bootsgezel/Barbier;bootsgezel;sailor
Bootsgezel/Scheepskorporaal;bootsgezel;sailor
Jongbootsgezel;bootsgezel;sailor
Bosschieter;bosschieter;soldier
bosschieter;bosschieter;soldier
Bosschieter/Bootsgezel;bosschieter;soldier
Bottelier;bottelier;sailor
Botteliersjongen;botteliersjongen;sailor
Botteliersmaat;botteliersmaat;sailor
botteliersmaat;botteliersmaat;sailor
Chirurgijn;chirurgijn;sailor
chirurgijn;chirurgijn;sailor
Chirurgijnsjongen;chirurgijnsjongen;sailor
Commandeur;commandeur;soldier
Commandeur over de soldaten;commandeur;soldier
Commies;commies;sailor
Commissaris;commissaris;sailor
Derde stuurman;derde stuurman;sailor
Hoogbootman;hoogbootsman;sailor
Hoogbootsman;hoogbootsman;sailor
hoogbootsman;hoogbootsman;sailor
Hoogbootsman/Constapel;hoogbootsman;sailor
Hoogbootsman/Schieman;hoogbootsman;sailor
Hoogbootsmansmaat;hoogbootsman;sailor
Hooploper;hooploper;sailor
Jongen;jongen;sailor
jongen;jongen;sailor
Jonggezel;jongen;sailor
Kajuitwachter;kajuitwachter;sailor
kajuitwachter;kajuitwachter;sailor
Kajuitwachter/Jongen;kajuitwachter;sailor
Kapitein;kapitein;soldier
Kapitein des armes;kapitein;soldier
Kapitein over een compagnie soldaten;kapitein;soldier
Kapitein over een compagnie voetknechten;kapitein;soldier
kapitein van de artillerie;kapitein;soldier
Kapitein-luitenant;kapitein-luitenant;soldier
Klerk;klerk;sailor
Kok;kok;sailor
Kok/Bottelier;kok;sailor
Koksmaat;koksmaat;sailor
koksmaat;koksmaat;sailor
Constapel;konstabel;soldier
Constapel/Hoogbootsman;konstabel;soldier
Constapel/Schieman;konstabel;soldier
Constabelsmaat;konstabelsmaat;soldier
Constapelsmaat;konstabelsmaat;soldier
Koperslager;koperslager;sailor
Korporaal;korporaal;soldier
korporaal;korporaal;soldier
Korporaal van de adelborsten;korporaal;soldier
korporaal van de adelborsten;korporaal;soldier
Kuiper;kuiper;sailor
kuiper;kuiper;sailor
Kuiper/Bosschieter;kuiper;sailor
Kuiper/Bottelier;kuiper;sailor
kuiper/Onderproviandmeester;kuiper;sailor
kuipersjongen;kuipersmaat;sailor
Kuipersmaat/Botteliersmaat;kuipersmaat;sailor
Kwartiermeester;kwartiermeester;soldier
kwartiermeester;kwartiermeester;soldier
Lansmissaat;lansmissaat;soldier
Luitenant;luitenant;soldier
luitenant;luitenant;soldier
Marsklimmer;mastklimmer;sailor
Mastklimmer;mastklimmer;sailor
Matroos;matroos;sailor
Meestermetselaar;metselaar;sailor
Metselaar;metselaar;sailor
Onderbarbier;onderbarbier;sailor
Onderchirurgijn;onderchirurgijn;sailor
onderchirurgijn;onderchirurgijn;sailor
Ondercommies;ondercommies;sailor
Onderkoopman;onderkoopman;sailor
Onderkorporaal;onderkorporaal;sailor
Onderkuiper;onderkuiper;sailor
Onderstuurman;onderstuurman;sailor
onderstuurman;onderstuurman;sailor
ondertimmerman;ondertimmerman;sailor
Ondertimmerman;ondertimmerman;sailor
Ondertrompetter;ondertrompetter;sailor
Onderzeilmaker;onderzeilmaker;sailor
Opperbarbier;opperbarbier;sailor
Opperchirurgijn;opperchirurgijn;sailor
Oppercommies;oppercommies;sailor
Opperkuiper;opperkuiper;sailor
Opperstuurman;opperstuurman;sailor
Oppertimmerman;oppertimmerman;sailor
Opperzeilmaker;opperzeilmaker;sailor
Provoost;provoost;soldier
Rector;rector;soldier
roermaker;roermaker;sailor
Scheepsjongen;scheepsjongen;sailor
Scheepskorporaal;scheepskorporaal;sailor
Scherprechter;scherprechter;sailor
Schieman;schieman;sailor
Schiemansmaat;schiemansmaat;sailor
Schiemansmaat/Hoogbootsmansmaat;schiemansmaat;sailor
Schipper;schipper;sailor
Schoolmeester;schoolmeester;sailor
Schrijver;schrijver;sailor
Schrijver reformÃ©;schrijver;sailor
Schrijver/Adelborst;schrijver;sailor
Secretaris;secretaris;sailor
Sergeant;sergeant;soldier
sergeant;sergeant;soldier
Slotenmaker;slotenmaker;sailor
Smid;smit;sailor
Sobra cargo;sobra cargo;sailor
Sobro cargo;sobro cargo;sailor
Scldaet;soldaat;soldier
Soldaat;soldaat;soldier
soldaat;soldaat;soldier
Soldaat/Adelborst;soldaat;soldier
Soldaat/Slotenmaker;soldaat;soldier
Soldaat/Tamboer;soldaat;soldier
Spekdrager;spekdrager;sailor
Speksnijder;speksnijder;sailor
Steenhouwer;steenhouwer;sailor
Stuurman;stuurman;sailor
Stuurman van de sloep;stuurman;sailor
Stuurman/Schieman;stuurman;sailor
Tamboer;tamboer;soldier
tamboer;tamboer;soldier
Houtzager;timmerman;sailor
Huistimmerman;timmerman;sailor
Meesterhuistimmerman;timmerman;sailor
Scheepstimmerman;timmerman;sailor
Timmerman;timmerman;sailor
timmerman;timmerman;sailor
trompetter;trompetter;sailor
Trompetter;trompetter;sailor
Vaandrig;vaandrig;soldier
Varensgezel;varensgezel;sailor
Varensman;varensman;sailor
Veldpijper;veldpijper;soldier
Voorlezer;voorlezer;sailor
Voorlezer/Dominee;voorlezer;sailor
Zeilmaker;zeilmaker;sailor
ziekentrooster;ziekentrooster;sailor
Ziekentrooster;ziekentrooster;sailor
Zwaardveger;zwaardveger;soldier
