ship_name;standardized_name
Aaron;Aaron
Abr. Offerhande;Abrahams Offerhande
Abrah. Offerhan.;Abrahams Offerhande
Abrah. Offerhande;Abrahams Offerhande
Abrah: Offerh:;Abrahams Offerhande
Abrah: Offerhan.;Abrahams Offerhande
Abrah: Offerhande;Abrahams Offerhande
Abrahams Offerhan.;Abrahams Offerhande
Abrahams Offerhande;Abrahams Offerhande
de Abrah: Offerh.;Abrahams Offerhande
de Abrah: Offerhande;Abrahams Offerhande
Achter Kerck;Achterkerk
Ackersloodt;Akersloot
Aeckersloot;Akersloot
Alphen;Alphen
Amboina;Amboina
Ambon;Amboina
Amerongen;Amerongen
Amersfoort;Amersfoort
Amersfort;Amersfoort
Amesfoort;Amersfoort
Amstellant;Amstelland
Amsterv;Amstelveen
Amsterveen;Amstelveen
Amstel.;Amsterdam
Amsteldam;Amsterdam
Amsteldm.;Amsterdam
Amsterd.;Amsterdam
Amsterdam;Amsterdam
Amsterdm.;Amsterdam
Amstm.;Amsterdam
Anckeveen;Ankeveen
Appleton;Appleton
Arendt;Arend
den Arendt;Arend
den Arent;Arend
den Arion;Arion
Darcke Traiano;Ark van Troje
d'Arcke Troijaen;Ark van Troje
de Arcke Troaen;Ark van Troje
de Arcke Troiaen;Ark van Troje
de Arcke Troijaen;Ark van Troje
Aerhem;Arnhem
Arnhem;Arnhem
Banda;Banda
de Beer;Beer
de Befaemde Susanna;Befaamde Susanna
De Benijn;Benin
Bercke Longe;Berckelonge
d Berckelonge;Berckelonge
de Barckelonge;Berckelonge
de Barque Longe;Berckelonge
de Berckelonge;Berckelonge
de Bercque Longe;Berckelonge
de Bercquelonge;Berckelonge
Berchout;Berkhout
t Barckhout;Berkhout
de Beurs;Beurs
de Blaeuwen Arent;Blauwe Arend
Blauwen Arent;Blauwe Arend
de Blaeuwe Arent;Blauwe Arend
de Blauwen Arent;Blauwe Arend
den Blaeuwen Aren;Blauwe Arend
den Blaeuwen Arent;Blauwe Arend
de Blaeuwe Duijff;Blauwe Duif
den Blaeuwen Eenhoorn;Blauwe Eenhoorn
de Blaeuwe Eenhoorn;Blauwe Eenhoorn
de Blaeuwen Eenhoorn;Blauwe Eenhoorn
den Blaeuwen Eenhooren;Blauwe Eenhoorn
de Blaeuwe Engel;Blauwe Engel
den Blaewen Engel;Blauwe Engel
den Blawen Engel;Blauwe Engel
de Blaeuwen Haen;Blauwe Haan
de Blaeuwenhaen;Blauwe Haan
den Blaeuwen Haan;Blauwe Haan
den Blaeuwenhaen;Blauwe Haan
t' Blaeu Lam;Blauwe Lam
d Blaeuwe Leeu;Blauwe Leeuw
d Blauwe Leeu;Blauwe Leeuw
d' Blauwe Leeu;Blauwe Leeuw
d Blauwe Leew;Blauwe Leeuw
D Bluauwe Leeu;Blauwe Leeuw
d Lauwe Leu;Blauwe Leeuw
d'Blauwe Leeu;Blauwe Leeuw
de Blaeuwe Leeeu;Blauwe Leeuw
de Blaeuwe Leeu;Blauwe Leeuw
De Blaeuwe Leeu;Blauwe Leeuw
de Blaeuwe Leeuw;Blauwe Leeuw
de Blaewe Leeu;Blauwe Leeuw
de Blauwe Leeu;Blauwe Leeuw
De Blauwe Leeu;Blauwe Leeuw
de Boer;Boer
Bommel;Bommel
het Bonte Lam;Bonte Lam
t Bonte Lam;Bonte Lam
t' Bonte Lam;Bonte Lam
t'Bonte Lam;Bonte Lam
de Bonte Koe;Bontekoe
de Bontekoe;Bontekoe
de Brack;Brack
Brant van Troijen;Brand van Troje
d' Brandt van Troijen;Brand van Troje
